team,elo_rating,elo_rank,source_date,notes
France,2063,1,2026-07-04,World Football Elo - live WC tournament
Argentina,2044,2,2026-07-04,Defending champion - strong form
Spain,2038,3,2026-07-04,Excellent Euro 2024 winner momentum
Brazil,2001,4,2026-07-04,Traditional powerhouse
England,1985,5,2026-07-04,Strong squad depth
Portugal,1978,6,2026-07-04,Ronaldo-era successor squads
Belgium,1945,7,2026-07-04,Golden generation still contributing
Netherlands,1942,8,2026-07-04,Strong but inconsistent
Germany,1938,9,2026-07-04,Rebuilding but talented
Colombia,1921,10,2026-07-04,Strong CONMEBOL performer
Morocco,1918,11,2026-07-04,2022 semifinalist - organized defense
Croatia,1912,12,2026-07-04,Serial knockout-round performers
Switzerland,1908,13,2026-07-04,Consistent performers
USA,1878,14,2026-07-04,Co-host advantage
Mexico,1871,15,2026-07-04,Co-host advantage
Canada,1852,16,2026-07-04,Co-host advantage - surprising group stage run
Norway,1848,17,2026-07-04,Haaland factor - dangerous
Egypt,1789,18,2026-07-04,Salah-led - AFCON experience
Paraguay,1761,19,2026-07-04,Solid CONMEBOL qualifier
Senegal,1812,20,2026-07-04,Strong African side
Uruguay,1825,21,2026-07-04,Tough South American outfit
Japan,1797,22,2026-07-04,Technically excellent Asian side
